Ano Modelo,Cor,Código FIPE,Grupo,Modelo,Montadora,Pátio de Veículos,Situação,Unidade de Operação,Valor FIPE,Idade,Categoria
2018,CINZA,025242-5,KM LIVRE,LOGAN AUTHENTIQUE FLEX 1.0 12V 4P,OUTRAS,KAPÔ SEDE,DISPONÍVEL PARA VENDA,KAPÔ,34709,8,AUTOMOVEL
2016,PRATA,025215-8,KM LIVRE,SANDERO EXPRESSION HI-POWER 1.0 16V 5P,OUTRAS,OFICINA,DISPONÍVEL,KAPÔ,36345,10,AUTOMOVEL
2019,BRANCA,005501-8,KAPÔ PRÓPRIO,VOYAGE 1.6 MSI FLEX 16V 4P AUT.,VOLKSWAGEN,OFICINA,BLOQUEADO,KAPÔ,58639,7,AUTOMOVEL
2022,VERMELHA,001461-3,KAPÔ PRÓPRIO,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,51152,4,AUTOMOVEL
2022,BRANCA,001461-3,KM LIVRE,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,51152,4,AUTOMOVEL
2022,PRETA,001461-3,KAPÔ GOLD - 3 MESES,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,51152,4,AUTOMOVEL
2022,BRANCA,001461-3,KM LIVRE,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,51152,4,AUTOMOVEL
2022,BRANCA,001461-3,KAPÔ PRÓPRIO,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,51152,4,AUTOMOVEL
2022,BRANCA,001461-3,KAPÔ PRÓPRIO,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,DISPONÍVEL,KAPÔ,51152,4,AUTOMOVEL
2022,BRANCA,001461-3,KAPÔ PRÓPRIO,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,51152,4,AUTOMOVEL
2022,PRETA,001461-3,KM FLEXÍVEL,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,51152,4,AUTOMOVEL
2022,BRANCA,001461-3,KAPÔ PRÓPRIO,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,51152,4,AUTOMOVEL
2022,BRANCA,001461-3,KAPÔ GOLD - 3 MESES,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,51152,4,AUTOMOVEL
2022,VERMELHA,001461-3,KAPÔ GOLD - 3 MESES,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,51152,4,AUTOMOVEL
2022,VERMELHA,001461-3,KAPÔ PRÓPRIO,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,51152,4,AUTOMOVEL
2022,VERMELHA,001461-3,KAPÔ PRÓPRIO,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,51152,4,AUTOMOVEL
2022,VERMELHA,001461-3,KM LIVRE,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,51152,4,AUTOMOVEL
2022,VERMELHA,001461-3,KM FLEXÍVEL,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,51152,4,AUTOMOVEL
2023,VERMELHA,001461-3,KAPÔ PRÓPRIO,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,53252,3,AUTOMOVEL
2023,VERMELHA,001461-3,KAPÔ GOLD - 3 MESES,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,53252,3,AUTOMOVEL
2023,VERMELHA,001461-3,KAPÔ PRÓPRIO,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,53252,3,AUTOMOVEL
2023,PRETA,001461-3,KAPÔ GOLD - 3 MESES,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,53252,3,AUTOMOVEL
2023,BRANCA,001461-3,KM LIVRE,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,53252,3,AUTOMOVEL
2023,BRANCA,024264-0,KM LIVRE,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,BRANCA,024264-0,KAPÔ PRÓPRIO,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,BRANCA,024264-0,KM LIVRE,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,BRANCA,024264-0,KAPÔ GOLD - 3 MESES,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
