Montadora,Cor,Grupo,Situação,Categoria,Ano Modelo,Idade,Valor FIPE
OUTRAS,CINZA,KM LIVRE,DISPONÍVEL PARA VENDA,AUTOMOVEL,2018,8,34709
OUTRAS,PRATA,KM LIVRE,DISPONÍVEL,AUTOMOVEL,2016,10,36345
VOLKSWAGEN,BRANCA,KAPÔ PRÓPRIO,BLOQUEADO,AUTOMOVEL,2019,7,58639
FIAT,VERMELHA,KAPÔ PRÓPRIO,LOCADO,AUTOMOVEL,2022,4,51152
FIAT,BRANCA,KM LIVRE,DISPONÍVEL,AUTOMOVEL,2022,4,51152
FIAT,PRETA,KAPÔ GOLD - 3 MESES,DISPONÍVEL,AUTOMOVEL,2022,4,51152
FIAT,BRANCA,KM LIVRE,DISPONÍVEL,AUTOMOVEL,2022,4,51152
FIAT,BRANCA,KAPÔ PRÓPRIO,LOCADO,AUTOMOVEL,2022,4,51152
FIAT,BRANCA,KAPÔ PRÓPRIO,DISPONÍVEL,AUTOMOVEL,2022,4,51152
FIAT,BRANCA,KAPÔ PRÓPRIO,LOCADO,AUTOMOVEL,2022,4,51152
FIAT,PRETA,KM FLEXÍVEL,DISPONÍVEL,AUTOMOVEL,2022,4,51152
FIAT,BRANCA,KAPÔ PRÓPRIO,DISPONÍVEL,AUTOMOVEL,2022,4,51152
FIAT,BRANCA,KAPÔ GOLD - 3 MESES,LOCADO,AUTOMOVEL,2022,4,51152
FIAT,VERMELHA,KAPÔ GOLD - 3 MESES,DISPONÍVEL,AUTOMOVEL,2022,4,51152
FIAT,VERMELHA,KAPÔ PRÓPRIO,DISPONÍVEL,AUTOMOVEL,2022,4,51152
FIAT,VERMELHA,KAPÔ PRÓPRIO,LOCADO,AUTOMOVEL,2022,4,51152
FIAT,VERMELHA,KM LIVRE,DISPONÍVEL,AUTOMOVEL,2022,4,51152
FIAT,VERMELHA,KM FLEXÍVEL,LOCADO,AUTOMOVEL,2022,4,51152
